"id";"cidade";"latitude";"longitude"
329;"Santa Lúcia";-25,4104;-53,5638
330;"Santa Maria do Oeste";-24,9377;-51,8696
331;"Santa Mariana";-23,1465;-50,5167
332;"Santa Mônica";-23,108;-53,1103
333;"Santa Tereza do Oeste";-25,0543;-53,6274
334;"Santa Terezinha de Itaipu";-25,4391;-54,402
335;"Santana do Itararé";-23,7587;-49,6293
336;"Santo Antônio da Platina";-23,2959;-50,0815
337;"Santo Antônio do Caiuá";-22,7351;-52,344
338;"Santo Antônio do Paraíso";-23,4969;-50,6455
339;"Santo Antônio do Sudoeste";-26,0737;-53,7251
340;"Santo Inácio";-22,6957;-51,7969
341;"São Carlos do Ivaí";-23,3158;-52,4761
342;"São Jerônimo da Serra";-23,7218;-50,7475
343;"São João do Caiuá";-22,8535;-52,3411
344;"São João do Ivaí";-23,9833;-51,8215
345;"São João do Triunfo";-25,683;-50,2949
346;"São João";-25,8214;-52,7252
347;"São Jorge d'Oeste";-25,7085;-52,9204
348;"São Jorge do Ivaí";-23,4336;-52,2929
349;"São Jorge do Patrocínio";-23,7647;-53,8823
350;"São José da Boa Vista";-23,9122;-49,6577
351;"São José das Palmeiras";-24,8369;-54,0572
352;"São José dos Pinhais";-25,5313;-49,2031
353;"São Manoel do Paraná";-23,3941;-52,6454
354;"São Mateus do Sul";-25,8677;-50,384
355;"São Miguel do Iguaçu";-25,3492;-54,2405
356;"São Pedro do Iguaçu";-24,9373;-53,8521
357;"São Pedro do Ivaí";-23,8634;-51,8568
358;"São Pedro do Paraná";-22,8239;-53,2241
359;"São Sebastião da Amoreira";-23,4656;-50,7625
360;"São Tomé";-23,5349;-52,5901
361;"Sapopema";-23,9078;-50,5801
362;"Sarandi";-23,4441;-51,876
363;"Saudade do Iguaçu";-25,6917;-52,6184
364;"Sengés";-24,1129;-49,4616
365;"Serranópolis do Iguaçu";-25,3799;-54,0518
366;"Sertaneja";-23,0361;-50,8317
367;"Sertanópolis";-23,0571;-51,0399
368;"Siqueira Campos";-23,6875;-49,8304
369;"Sulina";-25,7066;-52,7299
370;"Tamarana";-23,7204;-51,0991
371;"Tamboara";-23,2036;-52,4743
372;"Tapejara";-23,7315;-52,8735
373;"Tapira";-23,3193;-53,0684
374;"Teixeira Soares";-25,3701;-50,4571
375;"Telêmaco Borba";-24,3245;-50,6176
376;"Terra Boa";-23,7683;-52,447
377;"Terra Rica";-22,7111;-52,6188
378;"Terra Roxa";-24,1575;-54,0988
379;"Tibagi";-24,5153;-50,4176
380;"Tijucas do Sul";-25,9311;-49,195
381;"Toledo";-24,7246;-53,7412
382;"Tomazina";-23,7796;-49,9499
383;"Três Barras do Paraná";-25,4185;-53,1833
384;"Tunas do Paraná";-24,9731;-49,0879
385;"Tuneiras do Oeste";-23,8648;-52,8769
386;"Tupãssi";-24,5879;-53,5105
387;"Turvo";-25,0437;-51,5282
388;"Ubiratã";-24,5393;-52,9865
389;"Umuarama";-23,7656;-53,3201
390;"União da Vitória";-26,2273;-51,0873
391;"Uniflor";-23,0868;-52,1573
392;"Uraí";-23,2;-50,7939
393;"Ventania";-24,2458;-50,2376
394;"Vera Cruz do Oeste";-25,0577;-53,8771
395;"Verê";-25,8772;-52,9051
396;"Virmond";-25,3829;-52,1987
397;"Vitorino";-26,2683;-52,7843
398;"Wenceslau Braz";-23,8742;-49,8032
399;"Xambrê";-23,7364;-53,4884
